Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Urban land area (sq. km),AG.LND.TOTL.UR.K2,Australia,AUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10027.78042,,,,,,,,,,10794.84168,,,,,,,,,,,,,,,11945.98604,,,,,,,
Urban land area (sq. km),AG.LND.TOTL.UR.K2,Austria,AUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2512.616239,,,,,,,,,,2685.348713,,,,,,,,,,,,,,,2973.71201,,,,,,,
Urban land area (sq. km),AG.LND.TOTL.UR.K2,Azerbaijan,AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1823.904613,,,,,,,,,,2145.736267,,,,,,,,,,,,,,,2589.858867,,,,,,,
Urban land area (sq. km),AG.LND.TOTL.UR.K2,"Bahamas, The",BHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.812331,,,,,,,,,,177.9448482,,,,,,,,,,,,,,,203.7442433,,,,,,,
Urban land area (sq. km),AG.LND.TOTL.UR.K2,Bahrain,BHR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259.0865296,,,,,,,,,,284.0197686,,,,,,,,,,,,,,,330.291737,,,,,,,
Urban land area (sq. km),AG.LND.TOTL.UR.K2,Bangladesh,BGD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46298.4094,,,,,,,,,,51109.2414,,,,,,,,,,,,,,,56970.02069,,,,,,,
Urban land area (sq. km),AG.LND.TOTL.UR.K2,Barbados,BRB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.6149328,,,,,,,,,,174.7949531,,,,,,,,,,,,,,,187.5880811,,,,,,,
Urban land area (sq. km),AG.LND.TOTL.UR.K2,Belarus,BLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3179.480134,,,,,,,,,,3170.850645,,,,,,,,,,,,,,,2882.60449,,,,,,,
Urban land area (sq. km),AG.LND.TOTL.UR.K2,Belgium,BEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6642.205215,,,,,,,,,,6961.534983,,,,,,,,,,,,,,,7730.87924,,,,,,,
Urban land area (sq. km),AG.LND.TOTL.UR.K2,Belize,BLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.20685375,,,,,,,,,,97.08041268,,,,,,,,,,,,,,,122.8998629,,,,,,,
Urban land area (sq. km),AG.LND.TOTL.UR.K2,Benin,BEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1014.63568,,,,,,,,,,1413.548195,,,,,,,,,,,,,,,2005.909344,,,,,,,
Urban land area (sq. km),AG.LND.TOTL.UR.K2,Bermuda,BMU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.36227177,,,,,,,,,,34.09296539,,,,,,,,,,,,,,,41.96724762,,,,,,,
Urban land area (sq. km),AG.LND.TOTL.UR.K2,Bhutan,BTN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.49908492,,,,,,,,,,14.4204726,,,,,,,,,,,,,,,28.60276837,,,,,,,
Urban land area (sq. km),AG.LND.TOTL.UR.K2,Bolivia,BOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1214.238193,,,,,,,,,,1503.991444,,,,,,,,,,,,,,,1767.519044,,,,,,,
Urban land area (sq. km),AG.LND.TOTL.UR.K2,Bosnia and Herzegovina,BIH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1316.158258,,,,,,,,,,1469.420648,,,,,,,,,,,,,,,1641.927708,,,,,,,
Urban land area (sq. km),AG.LND.TOTL.UR.K2,Botswana,BWA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,489.348632,,,,,,,,,,659.1253073,,,,,,,,,,,,,,,804.3459935,,,,,,,
Urban land area (sq. km),AG.LND.TOTL.UR.K2,Brazil,BRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34620.95243,,,,,,,,,,41034.54426,,,,,,,,,,,,,,,45853.33961,,,,,,,
Urban land area (sq. km),AG.LND.TOTL.UR.K2,British Virgin Islands,VGB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,7.262706658,,,,,,,,,,,,,,,14.44612028,,,,,,,
Urban land area (sq. km),AG.LND.TOTL.UR.K2,Brunei Darussalam,BRN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.2252348,,,,,,,,,,164.2445019,,,,,,,,,,,,,,,199.1723685,,,,,,,
Urban land area (sq. km),AG.LND.TOTL.UR.K2,Bulgaria,BGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2458.274583,,,,,,,,,,2298.230065,,,,,,,,,,,,,,,2109.344193,,,,,,,
Urban land area (sq. km),AG.LND.TOTL.UR.K2,Burkina Faso,BFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,940.2090812,,,,,,,,,,1212.414139,,,,,,,,,,,,,,,1599.295142,,,,,,,
Urban land area (sq. km),AG.LND.TOTL.UR.K2,Burundi,BDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,416.0614025,,,,,,,,,,568.5477575,,,,,,,,,,,,,,,887.8423434,,,,,,,
Urban land area (sq. km),AG.LND.TOTL.UR.K2,Cabo Verde,CPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.22070506,,,,,,,,,,54.82349152,,,,,,,,,,,,,,,59.55432677,,,,,,,
Urban land area (sq. km),AG.LND.TOTL.UR.K2,Cambodia,KHM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,949.82476,,,,,,,,,,1517.035654,,,,,,,,,,,,,,,1838.753132,,,,,,,
Urban land area (sq. km),AG.LND.TOTL.UR.K2,Cameroon,CMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1564.197661,,,,,,,,,,1999.386915,,,,,,,,,,,,,,,2352.111042,,,,,,,
Urban land area (sq. km),AG.LND.TOTL.UR.K2,Canada,CAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11777.16787,,,,,,,,,,12775.56176,,,,,,,,,,,,,,,13983.1143,,,,,,,
Urban land area (sq. km),AG.LND.TOTL.UR.K2,Cayman Islands,CYM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0395442,,,,,,,,,,27.61728554,,,,,,,,,,,,,,,43.96772397,,,,,,,
Urban land area (sq. km),AG.LND.TOTL.UR.K2,Central African Republic,CAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354.092946,,,,,,,,,,438.3968809,,,,,,,,,,,,,,,535.375881,,,,,,,
Urban land area (sq. km),AG.LND.TOTL.UR.K2,Chad,TCD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,528.1056013,,,,,,,,,,705.1781641,,,,,,,,,,,,,,,948.8241376,,,,,,,
Urban land area (sq. km),AG.LND.TOTL.UR.K2,Channel Islands,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urban land area (sq. km),AG.LND.TOTL.UR.K2,Chile,CHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2594.719417,,,,,,,,,,3089.196377,,,,,,,,,,,,,,,3579.670357,,,,,,,
Urban land area (sq. km),AG.LND.TOTL.UR.K2,China,CHN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362455.8024,,,,,,,,,,436715.3899,,,,,,,,,,,,,,,522345.1853,,,,,,,
Urban land area (sq. km),AG.LND.TOTL.UR.K2,Colombia,COL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4018.978497,,,,,,,,,,4621.650624,,,,,,,,,,,,,,,5114.558454,,,,,,,
Urban land area (sq. km),AG.LND.TOTL.UR.K2,Comoros,COM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.58986128,,,,,,,,,,67.72459359,,,,,,,,,,,,,,,142.534154,,,,,,,
Urban land area (sq. km),AG.LND.TOTL.UR.K2,"Congo, Dem. Rep.",COD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3519.055722,,,,,,,,,,4835.311195,,,,,,,,,,,,,,,7232.345419,,,,,,,
Urban land area (sq. km),AG.LND.TOTL.UR.K2,"Congo, Rep.",COG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343.5117811,,,,,,,,,,444.1712672,,,,,,,,,,,,,,,420.2625751,,,,,,,
Urban land area (sq. km),AG.LND.TOTL.UR.K2,Costa Rica,CRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,963.949333,,,,,,,,,,1204.71339,,,,,,,,,,,,,,,1475.943583,,,,,,,
Urban land area (sq. km),AG.LND.TOTL.UR.K2,Cote d'Ivoire,CIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1763.425238,,,,,,,,,,2333.262003,,,,,,,,,,,,,,,2981.956895,,,,,,,
Urban land area (sq. km),AG.LND.TOTL.UR.K2,Croatia,HRV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1642.071552,,,,,,,,,,1624.882709,,,,,,,,,,,,,,,1648.413072,,,,,,,
Urban land area (sq. km),AG.LND.TOTL.UR.K2,Cuba,CUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2455.196358,,,,,,,,,,2749.245639,,,,,,,,,,,,,,,3053.184682,,,,,,,
Urban land area (sq. km),AG.LND.TOTL.UR.K2,Curacao,CUW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.8880021,,,,,,,,,,111.7992243,,,,,,,,,,,,,,,118.1189284,,,,,,,
Urban land area (sq. km),AG.LND.TOTL.UR.K2,Cyprus,CYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316.2128048,,,,,,,,,,396.8776717,,,,,,,,,,,,,,,518.9803766,,,,,,,
Urban land area (sq. km),AG.LND.TOTL.UR.K2,Czechia,CZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3545.584423,,,,,,,,,,3671.506245,,,,,,,,,,,,,,,4023.399313,,,,,,,
Urban land area (sq. km),AG.LND.TOTL.UR.K2,Denmark,DNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017.384096,,,,,,,,,,2103.765318,,,,,,,,,,,,,,,2235.486537,,,,,,,
Urban land area (sq. km),AG.LND.TOTL.UR.K2,Djibouti,DJI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.53196288,,,,,,,,,,37.29893894,,,,,,,,,,,,,,,51.25016234,,,,,,,
Urban land area (sq. km),AG.LND.TOTL.UR.K2,Dominica,DMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.19067002,,,,,,,,,,18.84263764,,,,,,,,,,,,,,,20.99940263,,,,,,,
Urban land area (sq. km),AG.LND.TOTL.UR.K2,Dominican Republic,DOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1442.231316,,,,,,,,,,2007.75094,,,,,,,,,,,,,,,2504.486359,,,,,,,
Urban land area (sq. km),AG.LND.TOTL.UR.K2,Ecuador,ECU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1623.362953,,,,,,,,,,1984.915748,,,,,,,,,,,,,,,2293.845469,,,,,,,
Urban land area (sq. km),AG.LND.TOTL.UR.K2,"Egypt, Arab Rep.",EGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13257.80075,,,,,,,,,,16023.0859,,,,,,,,,,,,,,,18917.96116,,,,,,,
Urban land area (sq. km),AG.LND.TOTL.UR.K2,El Salvador,SLV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,928.567405,,,,,,,,,,1259.00123,,,,,,,,,,,,,,,1559.874606,,,,,,,
Urban land area (sq. km),AG.LND.TOTL.UR.K2,Equatorial Guinea,GNQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.26024407,,,,,,,,,,104.6163745,,,,,,,,,,,,,,,136.7343442,,,,,,,
Urban land area (sq. km),AG.LND.TOTL.UR.K2,Eritrea,ERI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.4997516,,,,,,,,,,234.8660643,,,,,,,,,,,,,,,331.1918185,,,,,,,
Urban land area (sq. km),AG.LND.TOTL.UR.K2,Estonia,EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346.3463166,,,,,,,,,,435.3525976,,,,,,,,,,,,,,,449.9723276,,,,,,,
Urban land area (sq. km),AG.LND.TOTL.UR.K2,Eswatini,SWZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.62049622,,,,,,,,,,126.9213335,,,,,,,,,,,,,,,177.9186709,,,,,,,
Urban land area (sq. km),AG.LND.TOTL.UR.K2,Ethiopia,ETH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2800.538223,,,,,,,,,,3934.94802,,,,,,,,,,,,,,,5760.664715,,,,,,,
Urban land area (sq. km),AG.LND.TOTL.UR.K2,Faroe Islands,FRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,
Urban land area (sq. km),AG.LND.TOTL.UR.K2,Fiji,FJI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.44603656,,,,,,,,,,83.80931876,,,,,,,,,,,,,,,117.2567813,,,,,,,
Urban land area (sq. km),AG.LND.TOTL.UR.K2,Finland,FIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995.716936,,,,,,,,,,2121.497193,,,,,,,,,,,,,,,2242.659442,,,,,,,
Urban land area (sq. km),AG.LND.TOTL.UR.K2,France,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19344.02534,,,,,,,,,,20827.76095,,,,,,,,,,,,,,,23030.66088,,,,,,,
Urban land area (sq. km),AG.LND.TOTL.UR.K2,French Polynesia,PYF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.53763311,,,,,,,,,,77.33339107,,,,,,,,,,,,,,,84.93705086,,,,,,,
Urban land area (sq. km),AG.LND.TOTL.UR.K2,Gabon,GAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.8332941,,,,,,,,,,268.9922746,,,,,,,,,,,,,,,311.5999701,,,,,,,
Urban land area (sq. km),AG.LND.TOTL.UR.K2,"Gambia, The",GMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.6985473,,,,,,,,,,258.0976892,,,,,,,,,,,,,,,338.7489128,,,,,,,
Urban land area (sq. km),AG.LND.TOTL.UR.K2,Georgia,GEO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1413.324672,,,,,,,,,,1348.864918,,,,,,,,,,,,,,,1130.16341,,,,,,,
Urban land area (sq. km),AG.LND.TOTL.UR.K2,Germany,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34563.29116,,,,,,,,,,36535.10151,,,,,,,,,,,,,,,36996.44357,,,,,,,
Urban land area (sq. km),AG.LND.TOTL.UR.K2,Ghana,GHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3298.283847,,,,,,,,,,4195.592186,,,,,,,,,,,,,,,5559.549789,,,,,,,
Urban land area (sq. km),AG.LND.TOTL.UR.K2,Gibraltar,GIB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.398828952,,,,,,,,,,7.398828952,,,,,,,,,,,,,,,7.398828952,,,,,,,
Urban land area (sq. km),AG.LND.TOTL.UR.K2,Greece,GRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2370.87957,,,,,,,,,,2664.3333,,,,,,,,,,,,,,,2748.663461,,,,,,,
Urban land area (sq. km),AG.LND.TOTL.UR.K2,Greenland,GRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.912475599,,,,,,,,,,2.582968866,,,,,,,,,,,,,,,2.582968866,,,,,,,
Urban land area (sq. km),AG.LND.TOTL.UR.K2,Grenada,GRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.09126916,,,,,,,,,,63.28370898,,,,,,,,,,,,,,,68.51966222,,,,,,,
Urban land area (sq. km),AG.LND.TOTL.UR.K2,Guam,GUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.92088804,,,,,,,,,,79.73729674,,,,,,,,,,,,,,,83.79810475,,,,,,,
Urban land area (sq. km),AG.LND.TOTL.UR.K2,Guatemala,GTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1587.448322,,,,,,,,,,2177.210795,,,,,,,,,,,,,,,2900.621828,,,,,,,
Urban land area (sq. km),AG.LND.TOTL.UR.K2,Guinea,GIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,810.732821,,,,,,,,,,1090.315915,,,,,,,,,,,,,,,1390.663579,,,,,,,
Urban land area (sq. km),AG.LND.TOTL.UR.K2,Guinea-Bissau,GNB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.1412344,,,,,,,,,,164.2467832,,,,,,,,,,,,,,,196.2640069,,,,,,,
Urban land area (sq. km),AG.LND.TOTL.UR.K2,Guyana,GUY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.3173448,,,,,,,,,,169.319713,,,,,,,,,,,,,,,165.7263754,,,,,,,
Urban land area (sq. km),AG.LND.TOTL.UR.K2,Haiti,HTI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1006.230785,,,,,,,,,,1205.577711,,,,,,,,,,,,,,,1326.104126,,,,,,,
Urban land area (sq. km),AG.LND.TOTL.UR.K2,Honduras,HND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,817.1370564,,,,,,,,,,1125.800975,,,,,,,,,,,,,,,1576.928238,,,,,,,
Urban land area (sq. km),AG.LND.TOTL.UR.K2,"Hong Kong SAR, China",HKG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,445.3223399,,,,,,,,,,484.3733415,,,,,,,,,,,,,,,516.713727,,,,,,,
Urban land area (sq. km),AG.LND.TOTL.UR.K2,Hungary,HUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3743.427075,,,,,,,,,,3899.667157,,,,,,,,,,,,,,,3928.833665,,,,,,,
Urban land area (sq. km),AG.LND.TOTL.UR.K2,Iceland,ISL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.7148901,,,,,,,,,,94.28706086,,,,,,,,,,,,,,,107.5600307,,,,,,,
Urban land area (sq. km),AG.LND.TOTL.UR.K2,India,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98799.60601,,,,,,,,,,125554.2977,,,,,,,,,,,,,,,171839.1829,,,,,,,
Urban land area (sq. km),AG.LND.TOTL.UR.K2,Indonesia,IDN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43593.45194,,,,,,,,,,56810.41511,,,,,,,,,,,,,,,67755.13459,,,,,,,
Urban land area (sq. km),AG.LND.TOTL.UR.K2,"Iran, Islamic Rep.",IRN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9480.541846,,,,,,,,,,13197.10211,,,,,,,,,,,,,,,16217.10485,,,,,,,
Urban land area (sq. km),AG.LND.TOTL.UR.K2,Iraq,IRQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3488.036377,,,,,,,,,,4482.222287,,,,,,,,,,,,,,,6572.968868,,,,,,,
Urban land area (sq. km),AG.LND.TOTL.UR.K2,Ireland,IRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,854.4926513,,,,,,,,,,976.5798208,,,,,,,,,,,,,,,1261.38995,,,,,,,
Urban land area (sq. km),AG.LND.TOTL.UR.K2,Isle of Man,IMN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.6953025,,,,,,,,,,31.50907463,,,,,,,,,,,,,,,38.31179958,,,,,,,
Urban land area (sq. km),AG.LND.TOTL.UR.K2,Israel,ISR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1730.581776,,,,,,,,,,2233.687619,,,,,,,,,,,,,,,2743.733632,,,,,,,
Urban land area (sq. km),AG.LND.TOTL.UR.K2,Italy,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18122.17972,,,,,,,,,,19312.58304,,,,,,,,,,,,,,,20916.72317,,,,,,,
Urban land area (sq. km),AG.LND.TOTL.UR.K2,Jamaica,JAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,765.2656168,,,,,,,,,,900.4417523,,,,,,,,,,,,,,,1022.334202,,,,,,,
Urban land area (sq. km),AG.LND.TOTL.UR.K2,Japan,JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50992.76311,,,,,,,,,,52716.86291,,,,,,,,,,,,,,,53452.06098,,,,,,,
Urban land area (sq. km),AG.LND.TOTL.UR.K2,Jordan,JOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1053.324805,,,,,,,,,,1569.501695,,,,,,,,,,,,,,,2170.090187,,,,,,,
Urban land area (sq. km),AG.LND.TOTL.UR.K2,Kazakhstan,KAZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5659.331297,,,,,,,,,,5709.251321,,,,,,,,,,,,,,,6363.389933,,,,,,,
Urban land area (sq. km),AG.LND.TOTL.UR.K2,Kenya,KEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1418.43057,,,,,,,,,,2197.790033,,,,,,,,,,,,,,,3416.836892,,,,,,,
Urban land area (sq. km),AG.LND.TOTL.UR.K2,Kiribati,KIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.085727241,,,,,,,,,,1.333440939,,,,,,,,,,,,,,,5.187512818,,,,,,,
Urban land area (sq. km),AG.LND.TOTL.UR.K2,"Korea, Dem. People's Rep.",PRK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2224.53079,,,,,,,,,,2475.188733,,,,,,,,,,,,,,,2678.344984,,,,,,,
Urban land area (sq. km),AG.LND.TOTL.UR.K2,"Korea, Rep.",KOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8036.643562,,,,,,,,,,10324.50824,,,,,,,,,,,,,,,12473.40781,,,,,,,
Urban land area (sq. km),AG.LND.TOTL.UR.K2,Kosovo,XKX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urban land area (sq. km),AG.LND.TOTL.UR.K2,Kuwait,KWT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,596.2975091,,,,,,,,,,636.6046667,,,,,,,,,,,,,,,772.9420165,,,,,,,
Urban land area (sq. km),AG.LND.TOTL.UR.K2,Kyrgyz Republic,KGZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1486.192497,,,,,,,,,,1788.11835,,,,,,,,,,,,,,,2136.338096,,,,,,,
Urban land area (sq. km),AG.LND.TOTL.UR.K2,Lao PDR,LAO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241.3509245,,,,,,,,,,370.371061,,,,,,,,,,,,,,,542.1731935,,,,,,,
Urban land area (sq. km),AG.LND.TOTL.UR.K2,Latvia,LVA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,810.5150965,,,,,,,,,,783.9410578,,,,,,,,,,,,,,,676.2682094,,,,,,,
